s_no	route_number	from_en	from_kn	to_en	to_kn	routings_en	routings_kn	metros	schedule_count	timings_from	timings_to
47	MF16A	Shanthinagar TTMC	ಶಾಂತಿನಗರ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Shanthinagar TTMC	ಶಾಂತಿನಗರ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Lalbagh Main Gate, Lalbagh West Gate, North Road, Srinivasanagara, Hosakerehalli Cross, Mysore Road Metro Station, KR Market, Corporation	ಲಾಲ್‌ ಬಾಗ್‌ ಮೈನ್ ಗೇಟ್‌, ಲಾಲ್‌ ಬಾಗ್‌ ವೆಸ್ಟ್‌ ಗೇಟ್‌, ನಾರ್ತ್ ರೋಡ್‌,‌ ಶ್ರೀನಿವಾಸನಗರ, ಹೊಸಕೆರೆಹಳ್ಳಿ ಕ್ರಾಸ್‌, ಮೈಸೂರು ರಸ್ತೆ ಮೆಟ್ರೋ, ಕೆ.ಆರ್‌ ಮಾರುಕಟ್ಟೆ, ಕಾರ್ಪೋರೇಷನ್‌	10, 36, 30, 39	4	0525, 0555, 0615, 0630, 0645, 0700, 0720, 0745, 0805, 0825, 0845, 0910, 0935, 0955, 1015, 1050, 1120, 1145, 1205, 1230, 1330, 1400, 1435, 1500, 1525, 1545, 1610, 1655, 1720, 1740, 1805, 1825, 1850, 1910, 1935, 1955, 2020, 2040, 2105, 2125	
20	MF17	Jayanagara Metro Station	ಜಯನಗರ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Vaddarapalya JP Nagara 8th Phase	ವಡ್ಡರಪಾಳ್ಯ ಜೆ. ಪಿ. ನಗರ 8ನೇ ಹಂತ (ಫೇಸ್)	RV Road Metro, Jayanagara 5th Block, JP Nagara, Jambusavari Dinne	ಆರ್. ವಿ. ರೋಡ್ ಮೆಟ್ರೋ, ಜಯನಗರ 5ನೇ ಬ್ಲಾಕ್, ಜೆ. ಪಿ. ನಗರ, ಜಂಬುಸಾವರಿ ದಿಣ್ಣೆ	20	2	0615, 0745, 0815, 0915, 0945, 1110, 1145, 1350, 1520, 1625, 1820, 1950, 2200, 2310, 2415	0700, 0830, 0900, 1025, 1100, 1155, 1230, 1435, 1630, 1735, 1905, 2040.
24	MF21	Banashankari	ಬನಶಂಕರಿ	BTM layout (Kuvempunagara)	ಬಿ.ಟಿ.ಎಂ. ಲೇಔಟ್ (ಕುವೆಂಪುನಗರ)	JP Nagara 6th phase, R V Dental college, Delmia, JP Nagara 3rd phase, Mahadeshwara layout.	ಜೆಪಿ ನಗರ 6ನೇ ಹಂತ (ಫೇಜ್), ಆರ್ .ವಿ ಡೆಂಟಲ್ ಕಾಲೇಜು, ಡೆಲ್ಮಿಯಾ, ಜೆಪಿ ನಗರ 3ನೇ ಹಂತ (ಫೇಜ್), ಮಹದೇಶ್ವರ ಬಡಾವಣೆ.	4	2	0640, 0710, 0740, 0815, 0850, 0930, 1010, 1115, 1155, 1230, 1305, 1345, 1420, 1455, 1530, 1605, 1710, 1750, 1830, 1910, 1950, 2025.	0640, 0710, 0740, 0815, 0850, 0930, 1010, 1115, 1155, 1230, 1305, 1345, 1420, 1455, 1530, 1605, 1710, 1750, 1830, 1910, 1950, 2025.
25	MF23	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Ayyappa Temple, K.G.Halli, Abbigere, Chikkabanavara, Bagalagunte, Dasarahalli Metro	ಅಯ್ಯಪ್ಪ ದೇವಸ್ಥಾನ, ಕೆ.ಜಿ.ಹಳ್ಳಿ, ಅಬ್ಬಿಗೆರೆ, ಚಿಕ್ಕಬಾಣಾವರ, ಬಾಗಲಗುಂಟೆ, ದಾಸರಹಳ್ಳಿ ಮೆಟ್ರೋ	19, 9	1	0550, 0635, 0740, 0835, 0930, 1025,  1120, 1505, 1600, 1700, 1820, 1915, 2010, 2130	
26	MF23A	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Dasarahalli Metro, Bagalagunte, Chikkabanavara, Abbigere, KG Halli, Ayyappa Temple	ದಾಸರಹಳ್ಳಿ ಮೆಟ್ರೋ, ಬಾಗಲಗುಂಟೆ, ಚಿಕ್ಕಬಾಣಾವರ, ಅಬ್ಬಿಗೆರೆ, ಕೆ.ಜಿ.ಹಳ್ಳಿ, ಅಯ್ಯಪ್ಪ ದೇವಸ್ಥಾನ	19, 9	1	0830, 0930, 1055, 1150, 1245, 1340, 1500, 1555, 1650, 1745	
27	MF23B	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	BEL Circle	ಬಿ.ಇ.ಎಲ್. ಸರ್ಕಲ್	Chikkabanawara, Abbigere Cross, Gangamma Circle	ಚಿಕ್ಕಬಾಣಾವರ, ಅಬ್ಬಿಗೆರೆ ಕ್ರಾಸ್, ಗಂಗಮ್ಮ ವೃತ್ತ	19, 9	8	0555, 0620, 0645, 0710, 0740, 0755, 0805, 0835, 0850, 0900, 0930,0945, 0955, 1050, 1105, 1115, 1145, 1200, 1210, 1255, 1305, 1350, 1400, 1455, 1510, 1525, 1550, 1600, 1645, 1655, 1710, 1740, 1740, 1805, 1845, 1910, 1940, 2005, 2035, 2100, 2130, 2245	
28	MF23E	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	MS Palya	ಎಂ.ಎಸ್. ಪಾಳ್ಯ	Chikkabanavara, Ganigarahalli, Guni Agrahara	ಚಿಕ್ಕಬಾಣಾವರ, ಗಾಣಿಗರಹಳ್ಳಿ, ಗುಣಿ ಅಗ್ರಹಾರ	19, 9	3	0715, 0735, 0755, 0920, 0940, 1000, 1125, 1145, 1205, 1255, 1315, 1335, 1425, 1445, 1505, 1555, 1615, 1635, 1850, 1910, 1930, 2030, 2050, 2110	0630, 0650, 0710, 0800, 0820, 0840, 1010, 1030, 1050, 1210, 1230, 1250, 1340, 1400, 1420, 1510, 1530, 1550, 1730, 1750, 1810, 1940, 2000, 2020
29	MF24	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Laggere	ಲಗ್ಗೆರೆ	Rajagopalanagara Police Station, TVS Cross	ರಾಜಗೋಪಾಲನಗರ ಪೊಲೀಸ್ ಠಾಣೆ, ಟಿ.ವಿ.ಎಸ್. ಕ್ರಾಸ್	19	3	0545, 0635, 0640, 0725, 0730, 0805, 0815, 0820, 0905, 0910, 0955, 1020, 1110, 1200, 1250, 1325, 1340, 1420, 1445, 1510, 1535, 1650, 1705, 1740, 1755, 1835, 1925, 2000, 2025, 2050	
30	MF25	8th Mile	8ನೇ ಮೈಲಿ	Thippenahalli	ತಿಪ್ಪೇನಹಳ್ಳಿ	Nagasandra	ನಾಗಸಂದ್ರ	37	1	0700, 0740, 0800, 0820, 0840, 0900, 0920, 0940, 1025, 1045, 1105, 1125, 1145, 1205, 1245, 1305, 1325, 1345, 1405, 1425, 1445, 1505, 1525, 1610, 1630, 1650, 1710, 1730, 1750, 1830, 1910, 1950, 2030	0720, 0800, 0820, 0840, 0900, 0920, 1025, 1045, 1105, 1125, 1145, 1205, 1225, 1245, 1305, 1325, 1345, 1405, 1425, 1445, 1505, 1525, 1610, 1630, 1650, 1710, 1730, 1750, 1810, 1850, 1930, 2010, 2050
31	MF25A	8th Mile	8ನೇ ಮೈಲಿ	Suvarna Nagara	ಸುವರ್ಣ ನಗರ	Nagasandra, Rockline Studio	ನಾಗಸಂದ್ರ, ರಾಕ್‌ಲೈನ್ ಸ್ಟುಡಿಯೋ		1	0650, 0730, 0810, 0850, 1720, 1800, 1840, 1920	0710, 0750, 0830, 0910, 1740, 1820, 1900, 1940
